location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR(10yr)
ngc5286,11.3,0.43561896,0.87367877,12.258291,13.329411,0.00493363484964783
ngc6558,8.7,0.76071291,0.90624125,12.21014,25.721766,0.00489556482614377
ngc6558,8.7,0.76071291,0.90624125,12.21014,25.721766,0.00489556482614377
ngc6304,5.6,0.31549956,0.84449946,9.4306942,7.2883948,0.00489518151480052
ngc2419,90.4,0.23288909,0.79370458,18.47032,17.787918,0.00468760090762854
ngc6517,10.1,0.24578966,0.82384498,5.5410106,10.913817,0.00446650307373293
ngc6553,4.1,0.17844137,0.68406777,7.4728208,7.9253865,0.00446285400450913
ngc6205,6.8,0.20076928,0.58382538,14.371634,15.72338,0.00445148132315241
ngc6715,25.4,0.23546068,0.74470913,14.573491,16.022712,0.00415720354464036
ngc2419,90.4,0.27014921,0.8201594,18.47032,17.787918,0.00406330035286012
ngc1904,12.2,0.2753743,0.86030259,7.6184143,6.9639838,0.0040597191858743
ngc6934,14.4,0.21671388,0.67994876,16.283503,13.537561,0.00405966314485226
ngc6934,14.4,0.21671388,0.67994876,16.283503,13.537561,0.00405966314485226
ngc6355,6.8,0.31549956,0.84449946,9.4306942,7.2883948,0.00403132595336513
ngc6656,3.1,0.46179028,0.75456675,27.353741,13.36061,0.00401052502591118
ngc6715,25.4,0.38203264,0.85397394,14.876425,15.743232,0.00399332799014077
ngc6205,6.8,0.41617501,0.77585989,23.661433,14.813345,0.00379313987281778
ngc1851,11.7,0.37545085,0.8617485,9.9961517,11.522331,0.00376623724190692
ngc1851,11.7,0.37545085,0.8617485,9.9961517,11.522331,0.00376623724190692
ngc6266,6.6,0.31554023,0.60776784,34.604231,17.557769,0.00376153928277177
ngc6624,7.4,0.31549956,0.84449946,9.4306942,7.2883948,0.00370446168687607
ngc5272,9.7,0.19486661,0.5836503,14.371634,15.72338,0.00357412380609997
ngc6388,10.9,1.3981042,0.93569604,18.700412,36.604936,0.00353049276305929
ngc6266,6.6,0.31423492,0.59923113,34.604231,17.557769,0.00351404674507895
ngc7078,10,0.57240075,0.87274663,15.331738,17.243892,0.00341881828811965
ngc6356,13.8,0.2984487,0.81471355,12.291346,10.238011,0.00339017359132765
ngc7078,10,0.57510625,0.873317,15.331738,17.243892,0.00337744076981054
ngc7078,10,0.57848106,0.87402136,15.331738,17.243892,0.00335894184674186
ngc5272,9.7,5.1102989,0.99189854,15.017643,12.558685,0.00332153757030268
ngc5272,9.7,5.1102989,0.99189854,15.017643,12.558685,0.00332153757030268
ngc6093,8.4,0.31549956,0.84449946,9.4306942,7.2883948,0.00326345434320035
ngc6093,8.4,0.31549956,0.84449946,9.4306942,7.2883948,0.00326345434320035
ngc5139,4.9,1.6779838,0.94824764,25.741514,15.423422,0.003207333043779
ngc104,4.1,0.29018057,0.60066624,18.659415,18.78171,0.00320334568412716
ngc6760,6.9,0.4378366,0.80942806,15.699217,15.73559,0.00318265541879283
ngc6864,17.7,0.43561896,0.87367877,12.258291,13.329411,0.00314972168367348
ngc5927,7,0.4378366,0.80942806,15.699217,15.73559,0.00313718891281008
ngc6388,10.9,0.57240075,0.87274663,15.331738,17.243892,0.00313653053955931
ngc1851,11.7,0.30774759,0.79347985,12.092682,12.67822,0.00312325294626606
ngc1851,11.7,0.30774759,0.79347985,12.092682,12.67822,0.00312325294626606
ngc2808,8.9,0.54787084,0.86546015,14.876425,15.743232,0.0030986765960618
ngc2808,8.9,0.43599756,0.7978618,18.130252,18.229019,0.00309500783048841
ngc6656,3.1,0.56792476,0.84063204,12.765775,15.72338,0.00306769284438853
ngc6402,8.4,0.69944414,0.89996856,15.409426,14.216402,0.00301938897973576
ngc6441,9.2,0.54855878,0.86562038,14.876425,15.743232,0.00300426556606984
ngc6441,9.2,0.55031526,0.86602776,14.876425,15.743232,0.00298794064998897
pal_6,6.2,0.17844137,0.68406777,7.4728208,7.9253865,0.00295124216427217
ngc5904,7,0.25279791,0.71269758,12.219805,11.154344,0.002924290640385
ngc5904,7,0.25279791,0.71269758,12.219805,11.154344,0.002924290640385
ngc6235,9.4,1.7411963,0.96919062,13.682204,13.469288,0.00286062933121623
ngc6235,9.4,1.7411963,0.96919062,13.682204,13.469288,0.00286062933121623
ngc6235,9.4,1.7411963,0.96919062,13.682204,13.469288,0.00286062933121623
ngc6235,9.4,1.7411963,0.96919062,13.682204,13.469288,0.00286062933121623
ngc6235,9.4,1.7411963,0.96919062,13.682204,13.469288,0.00286062933121623
ngc6235,9.4,1.7411963,0.96919062,13.682204,13.469288,0.00286062933121623
ngc6522,6.8,0.42729055,0.86113998,12.122015,8.1089325,0.0028559986541268
ngc6440,7.5,0.21547979,0.71238098,7.4806133,11.549954,0.00279975144071856
ngc6656,3.1,0.4672182,0.78222424,17.170748,13.36061,0.00276609547050569
ngc7078,10,0.54787084,0.86546015,14.876425,15.743232,0.002757822170495
